name,source_url,image_url,gender,hair_color,hair_style,eye_style,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,match_tags,match_note,species,hair_length,eye_size,hero_level,evil_level,energy_level,confidence_level
Monkey D. Dragon,https://onepiece.fandom.com/wiki/Monkey_D._Dragon,https://static.wikia.nocookie.net/onepiece/images/f/f5/Monkey_D._Dragon_Anime_Infobox.png/revision/latest?cb=20250621010227,male,black,spiky,narrow,angular,serious,light,stubble,muscular,adult,2,8,7,1,9,"serious,muscular,spiky hair",강력한 느낌의 캐릭터입니다.,human,medium,medium,5,4,6,8
Monkey D. Luffy,https://onepiece.fandom.com/wiki/Monkey_D._Luffy,https://static.wikia.nocookie.net/onepiece/images/6/6d/Monkey_D._Luffy_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20260611004637,male,black,spiky,round,round,smiling,light,none,athletic,young,8,7,1,6,9,"adventurous, cheerful, determined",이 캐릭터는 매우 활기차고 긍정적입니다.,human,short,large,10,1,9,8
Coffee Monkeys,https://onepiece.fandom.com/wiki/Coffee_Monkeys,https://static.wikia.nocookie.net/onepiece/images/9/97/Coffee_Monkeys_Infobox.png/revision/latest?cb=20131103005225,male,blonde,long,round,square,smiling,light,none,muscular,adult,3,7,2,5,8,"muscular,smiling,anime",강력한 캐릭터의 느낌입니다.,human,medium,large,6,1,9,8
Bariete,https://onepiece.fandom.com/wiki/Bariete,https://static.wikia.nocookie.net/onepiece/images/f/fd/Bariete_Anime_Infobox.png/revision/latest?cb=20161127204213,male,brown,none,round,round,worried,light,none,slim,young,7,2,1,6,3,"monkey, worried, cartoon, playful",귀여운 캐릭터입니다.,monkey,short,large,2,1,5,4
Monkey D. Garp,https://onepiece.fandom.com/wiki/Monkey_D._Garp,https://static.wikia.nocookie.net/onepiece/images/e/e1/Monkey_D._Garp_Anime_Infobox.png/revision/latest?cb=20230207160645,male,gray,short,round,square,smiling,light,goatee,muscular,middle-aged,2,7,1,5,9,"strong, leader, funny, heroic",강력한 리더의 느낌입니다.,human,short,medium,8,1,6,9
Monster,https://onepiece.fandom.com/wiki/Monster,https://static.wikia.nocookie.net/onepiece/images/9/93/Monster_Anime_Infobox.png/revision/latest?cb=20240714020813,male,brown,spiky,round,round,grinning,light,none,muscular,young,5,6,2,8,7,"monkey, muscular, playful, mischievous",재미있고 장난기 가득한 캐릭터입니다.,monkey,short,large,3,4,8,7
Will of D.,https://onepiece.fandom.com/wiki/Will_of_D.,https://static.wikia.nocookie.net/onepiece/images/b/b1/Will_of_D._Infobox.png/revision/latest?cb=20250815231011,male,black,spiky,round,round,smiling,light,none,athletic,young,7,6,2,5,8,"anime, hero, energetic, young",활기찬 느낌의 캐릭터입니다.,human,short,large,9,1,9,8
Tararan,https://onepiece.fandom.com/wiki/Tararan,https://static.wikia.nocookie.net/onepiece/images/f/f6/Tararan_Anime_Infobox.png/revision/latest?cb=20130714210707,male,black,spiky,large,round,grinning,light,none,large,young,2,4,6,5,7,"spider, villain, anime",무서운 느낌의 캐릭터입니다.,spider-human,short,big,1,8,6,5
Borsalino,https://onepiece.fandom.com/wiki/Borsalino,https://static.wikia.nocookie.net/onepiece/images/1/14/Borsalino_Anime_Infobox.png/revision/latest?cb=20190603023753,male,black,curly,round,round,smiling,light,light stubble,tall,adult,3,7,2,5,6,"anime, stylish, confident, humorous",유머러스한 스타일의 캐릭터입니다.,human,short,medium,4,1,6,8
Masira,https://onepiece.fandom.com/wiki/Masira,https://static.wikia.nocookie.net/onepiece/images/e/e0/Masira_Anime_Infobox.png/revision/latest?cb=20230904222812,male,red,spiky,round,square,confident,light,none,muscular,adult,2,7,1,3,8,"muscular, confident, spiky hair, anime",강력한 캐릭터입니다.,human,short,large,5,1,7,9
