name,pageid,source_url,image_url,gender,hair_color,hair_style,eye_style,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,match_tags,match_note
Monkey (Disambiguation),17890,https://onepiece.fandom.com/wiki/Monkey_(Disambiguation),,,,,,,,,,,,,,,,,,
Monkey D. Dragon,1813,https://onepiece.fandom.com/wiki/Monkey_D._Dragon,,,,,,,,,,,,,,,,,,
Monkey D. Luffy,1444,https://onepiece.fandom.com/wiki/Monkey_D._Luffy,,,,,,,,,,,,,,,,,,
Coffee Monkeys,9134,https://onepiece.fandom.com/wiki/Coffee_Monkeys,,,,,,,,,,,,,,,,,,
Bariete,277701,https://onepiece.fandom.com/wiki/Bariete,,,,,,,,,,,,,,,,,,
Monkey D. Garp,1703,https://onepiece.fandom.com/wiki/Monkey_D._Garp,,,,,,,,,,,,,,,,,,
Saruyama Alliance,2544,https://onepiece.fandom.com/wiki/Saruyama_Alliance,,,,,,,,,,,,,,,,,,
Comic Strips,342404,https://onepiece.fandom.com/wiki/Comic_Strips,,,,,,,,,,,,,,,,,,
Monster,8302,https://onepiece.fandom.com/wiki/Monster,,,,,,,,,,,,,,,,,,
Straw Hat Luffy (Disambiguation),329119,https://onepiece.fandom.com/wiki/Straw_Hat_Luffy_(Disambiguation),,,,,,,,,,,,,,,,,,
Will of D.,1589,https://onepiece.fandom.com/wiki/Will_of_D.,,,,,,,,,,,,,,,,,,
Straw Hat (Disambiguation),4588,https://onepiece.fandom.com/wiki/Straw_Hat_(Disambiguation),,,,,,,,,,,,,,,,,,
Tararan,6991,https://onepiece.fandom.com/wiki/Tararan,,,,,,,,,,,,,,,,,,
Sun God (Disambiguation),348597,https://onepiece.fandom.com/wiki/Sun_God_(Disambiguation),,,,,,,,,,,,,,,,,,
Borsalino,1673,https://onepiece.fandom.com/wiki/Borsalino,,,,,,,,,,,,,,,,,,
Lucy (Disambiguation),238471,https://onepiece.fandom.com/wiki/Lucy_(Disambiguation),,,,,,,,,,,,,,,,,,
Masira,2200,https://onepiece.fandom.com/wiki/Masira,,,,,,,,,,,,,,,,,,
Marine Ships,5310,https://onepiece.fandom.com/wiki/Marine_Ships,,,,,,,,,,,,,,,,,,
Monjii,279410,https://onepiece.fandom.com/wiki/Monjii,,,,,,,,,,,,,,,,,,
Doma,18658,https://onepiece.fandom.com/wiki/Doma,,,,,,,,,,,,,,,,,,
Onepi no Mi,330488,https://onepiece.fandom.com/wiki/Onepi_no_Mi,,,,,,,,,,,,,,,,,,
Mink Tribe,9067,https://onepiece.fandom.com/wiki/Mink_Tribe,,,,,,,,,,,,,,,,,,
One Piece Strong Words 2,239037,https://onepiece.fandom.com/wiki/One_Piece_Strong_Words_2,,,,,,,,,,,,,,,,,,
Solitaire,314220,https://onepiece.fandom.com/wiki/Solitaire,,,,,,,,,,,,,,,,,,
Kokoro no Minato,322020,https://onepiece.fandom.com/wiki/Kokoro_no_Minato,,,,,,,,,,,,,,,,,,
Kyubi x One Piece Pirate King,337732,https://onepiece.fandom.com/wiki/Kyubi_x_One_Piece_Pirate_King,,,,,,,,,,,,,,,,,,
Roronoa Zoro,1520,https://onepiece.fandom.com/wiki/Roronoa_Zoro,,,,,,,,,,,,,,,,,,
Roronoa Pinzoro,340066,https://onepiece.fandom.com/wiki/Roronoa_Pinzoro,,,,,,,,,,,,,,,,,,
Roronoa Zoro (Non-Canon),339802,https://onepiece.fandom.com/wiki/Roronoa_Zoro_(Non-Canon),,,,,,,,,,,,,,,,,,
Roronoa Arashi,340067,https://onepiece.fandom.com/wiki/Roronoa_Arashi,,,,,,,,,,,,,,,,,,
One Piece Swordsman Roronoa Zoro -The Fierce Warriors-,323309,https://onepiece.fandom.com/wiki/One_Piece_Swordsman_Roronoa_Zoro_-The_Fierce_Warriors-,,,,,,,,,,,,,,,,,,
Roronoa Zoro Falls Into the Sea,316656,https://onepiece.fandom.com/wiki/Roronoa_Zoro_Falls_Into_the_Sea,,,,,,,,,,,,,,,,,,
Nisezoro,324048,https://onepiece.fandom.com/wiki/Nisezoro,,,,,,,,,,,,,,,,,,
Wado Ichimonji,3226,https://onepiece.fandom.com/wiki/Wado_Ichimonji,,,,,,,,,,,,,,,,,,
Tera,340068,https://onepiece.fandom.com/wiki/Tera,,,,,,,,,,,,,,,,,,
Volume Zoro,336242,https://onepiece.fandom.com/wiki/Volume_Zoro,,,,,,,,,,,,,,,,,,
Episode 2,4612,https://onepiece.fandom.com/wiki/Episode_2,,,,,,,,,,,,,,,,,,
Roronoa (Disambiguation),340069,https://onepiece.fandom.com/wiki/Roronoa_(Disambiguation),,,,,,,,,,,,,,,,,,
Three Sword Style,2980,https://onepiece.fandom.com/wiki/Three_Sword_Style,,,,,,,,,,,,,,,,,,
Foxfire Style,173976,https://onepiece.fandom.com/wiki/Foxfire_Style,,,,,,,,,,,,,,,,,,
Shimotsuki Village,3974,https://onepiece.fandom.com/wiki/Shimotsuki_Village,,,,,,,,,,,,,,,,,,
Soro,7970,https://onepiece.fandom.com/wiki/Soro,,,,,,,,,,,,,,,,,,
Spirit of Zoro,11123,https://onepiece.fandom.com/wiki/Spirit_of_Zoro,,,,,,,,,,,,,,,,,,
Chapter 51,2863,https://onepiece.fandom.com/wiki/Chapter_51,,,,,,,,,,,,,,,,,,
Shimotsuki Kuina,1721,https://onepiece.fandom.com/wiki/Shimotsuki_Kuina,,,,,,,,,,,,,,,,,,
Johnny,2550,https://onepiece.fandom.com/wiki/Johnny,,,,,,,,,,,,,,,,,,
Kuraigana Island,10859,https://onepiece.fandom.com/wiki/Kuraigana_Island,,,,,,,,,,,,,,,,,,
Saga,3615,https://onepiece.fandom.com/wiki/Saga,,,,,,,,,,,,,,,,,,
Shimotsuki Furiko,340061,https://onepiece.fandom.com/wiki/Shimotsuki_Furiko,,,,,,,,,,,,,,,,,,
Shimotsuki Koushirou,3835,https://onepiece.fandom.com/wiki/Shimotsuki_Koushirou,,,,,,,,,,,,,,,,,,
Chapter 52,2864,https://onepiece.fandom.com/wiki/Chapter_52,,,,,,,,,,,,,,,,,,
Choronoa Choro,339798,https://onepiece.fandom.com/wiki/Choronoa_Choro,,,,,,,,,,,,,,,,,,
Sanji's Pirates Restaurant,302969,https://onepiece.fandom.com/wiki/Sanji's_Pirates_Restaurant,,,,,,,,,,,,,,,,,,
