name,source_url,image_url,gender,hair_color,hair_style,eye_style,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,match_tags,match_note
Monkey D. Dragon,https://onepiece.fandom.com/wiki/Monkey_D._Dragon,https://static.wikia.nocookie.net/onepiece/images/f/f5/Monkey_D._Dragon_Anime_Infobox.png/revision/latest?cb=20250621010227,,,,,,,,,,,,,,,,,
Monkey D. Luffy,https://onepiece.fandom.com/wiki/Monkey_D._Luffy,https://static.wikia.nocookie.net/onepiece/images/6/6d/Monkey_D._Luffy_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20260611004637,,,,,,,,,,,,,,,,,
Coffee Monkeys,https://onepiece.fandom.com/wiki/Coffee_Monkeys,https://static.wikia.nocookie.net/onepiece/images/9/97/Coffee_Monkeys_Infobox.png/revision/latest?cb=20131103005225,,,,,,,,,,,,,,,,,
Bariete,https://onepiece.fandom.com/wiki/Bariete,https://static.wikia.nocookie.net/onepiece/images/f/fd/Bariete_Anime_Infobox.png/revision/latest?cb=20161127204213,,,,,,,,,,,,,,,,,
Monkey D. Garp,https://onepiece.fandom.com/wiki/Monkey_D._Garp,https://static.wikia.nocookie.net/onepiece/images/e/e1/Monkey_D._Garp_Anime_Infobox.png/revision/latest?cb=20230207160645,,,,,,,,,,,,,,,,,
Saruyama Alliance,https://onepiece.fandom.com/wiki/Saruyama_Alliance,https://static.wikia.nocookie.net/onepiece/images/f/fd/Saruyama_Alliance%27s_Jolly_Roger.png/revision/latest?cb=20190205183442,,,,,,,,,,,,,,,,,
Comic Strips,https://onepiece.fandom.com/wiki/Comic_Strips,https://static.wikia.nocookie.net/onepiece/images/0/0f/SBS105_Picture_Book.png/revision/latest?cb=20230624054122,,,,,,,,,,,,,,,,,
Monster,https://onepiece.fandom.com/wiki/Monster,https://static.wikia.nocookie.net/onepiece/images/9/93/Monster_Anime_Infobox.png/revision/latest?cb=20240714020813,,,,,,,,,,,,,,,,,
Will of D.,https://onepiece.fandom.com/wiki/Will_of_D.,https://static.wikia.nocookie.net/onepiece/images/b/b1/Will_of_D._Infobox.png/revision/latest?cb=20250815231011,,,,,,,,,,,,,,,,,
Tararan,https://onepiece.fandom.com/wiki/Tararan,https://static.wikia.nocookie.net/onepiece/images/f/f6/Tararan_Anime_Infobox.png/revision/latest?cb=20130714210707,,,,,,,,,,,,,,,,,
